tau,A1,A2,A3,A4,A5,Mean,Error
1,144,140,142,142,140,141.6,0.669328021
2,138,136,138,138,136,137.2,0.438178046
4,130,132,130,128,130,130,0.565685425
10,112,114,112,114,112,112.8,0.438178046
20,82.4,81.6,82.4,83.2,81.6,82.24,0.267731208
40,28,26,28,28,28,27.6,0.357770876
30,48,48,48,46,48,47.6,0.357770876
50,16.4,16.2,16.6,16.6,16.4,16.44,0.066932802
15,97.6,95.2,96,96.8,97.6,96.64,0.417228954
25,60.8,62,61.2,61.2,60.4,61.12,0.237318352
60,9.28,9.6,9.84,10.4,10.1,9.844,0.173472764
70,5,5,5.4,5.6,5.2,5.24,0.104307238
